,True Values,Predict Values,Prediction Error,Root Mean Square Error
26768,10.0,10.0,0.0,1.0260619409113207
12529,10.0,10.0,0.0,1.0260619409113207
27269,10.0,10.0,0.0,1.0260619409113207
26673,10.0,9.312,0.6880000000000006,1.0260619409113207
27366,10.0,10.0,0.0,1.0260619409113207
22764,10.0,10.0,0.0,1.0260619409113207
23405,10.0,10.0,0.0,1.0260619409113207
23136,0.0,4.53264,-4.53264,1.0260619409113207
25712,10.0,10.0,0.0,1.0260619409113207
26253,10.0,10.0,0.0,1.0260619409113207
12953,10.0,10.0,0.0,1.0260619409113207
26664,9.0,5.9665,3.0335,1.0260619409113207
6181,10.0,10.0,0.0,1.0260619409113207
26239,10.0,10.0,0.0,1.0260619409113207
25998,10.0,10.0,0.0,1.0260619409113207
22472,10.0,10.0,0.0,1.0260619409113207
21841,10.0,10.0,0.0,1.0260619409113207
13110,10.0,9.996,0.0039999999999995595,1.0260619409113207
21206,10.0,10.0,0.0,1.0260619409113207
25554,10.0,10.0,0.0,1.0260619409113207
26536,10.0,10.0,0.0,1.0260619409113207
13194,10.0,9.996,0.0039999999999995595,1.0260619409113207
13574,10.0,10.0,0.0,1.0260619409113207
13656,10.0,10.0,0.0,1.0260619409113207
21970,10.0,10.0,0.0,1.0260619409113207
12629,10.0,10.0,0.0,1.0260619409113207
22449,10.0,10.0,0.0,1.0260619409113207
21914,10.0,10.0,0.0,1.0260619409113207
22372,10.0,10.0,0.0,1.0260619409113207
12489,0.5,1.616,-1.116,1.0260619409113207
13295,10.0,10.0,0.0,1.0260619409113207
13632,10.0,10.0,0.0,1.0260619409113207
11314,10.0,10.0,0.0,1.0260619409113207
23275,10.0,10.0,0.0,1.0260619409113207
22627,10.0,10.0,0.0,1.0260619409113207
22839,5.0,5.637,-0.6369999999999996,1.0260619409113207
12931,10.0,10.0,0.0,1.0260619409113207
26861,10.0,10.0,0.0,1.0260619409113207
13202,10.0,8.892,1.1080000000000005,1.0260619409113207
26517,10.0,10.0,0.0,1.0260619409113207
25112,10.0,10.0,0.0,1.0260619409113207
23088,10.0,10.0,0.0,1.0260619409113207
11305,10.0,10.0,0.0,1.0260619409113207
13229,7.0,7.532,-0.532,1.0260619409113207
12525,10.0,10.0,0.0,1.0260619409113207
27331,10.0,10.0,0.0,1.0260619409113207
26033,10.0,10.0,0.0,1.0260619409113207
13771,10.0,10.0,0.0,1.0260619409113207
22515,10.0,10.0,0.0,1.0260619409113207
22815,10.0,10.0,0.0,1.0260619409113207
22319,10.0,10.0,0.0,1.0260619409113207
13315,10.0,10.0,0.0,1.0260619409113207
11581,10.0,10.0,0.0,1.0260619409113207
12922,10.0,10.0,0.0,1.0260619409113207
25335,10.0,9.576,0.4239999999999995,1.0260619409113207
13463,10.0,9.986,0.013999999999999346,1.0260619409113207
27412,1.0,5.625179999999999,-4.625179999999999,1.0260619409113207
11447,10.0,10.0,0.0,1.0260619409113207
13334,10.0,10.0,0.0,1.0260619409113207
21724,10.0,10.0,0.0,1.0260619409113207
13261,0.5,3.027,-2.527,1.0260619409113207
22869,10.0,10.0,0.0,1.0260619409113207
23148,0.25,4.067819999999999,-3.8178199999999993,1.0260619409113207
21931,10.0,10.0,0.0,1.0260619409113207
26678,10.0,10.0,0.0,1.0260619409113207
26743,10.0,10.0,0.0,1.0260619409113207
12873,10.0,10.0,0.0,1.0260619409113207
26351,10.0,10.0,0.0,1.0260619409113207
6205,3.0,5.13574,-2.13574,1.0260619409113207
27280,10.0,10.0,0.0,1.0260619409113207
23160,2.5,5.426,-2.926,1.0260619409113207
13490,10.0,10.0,0.0,1.0260619409113207
13426,8.0,5.757,2.2430000000000003,1.0260619409113207
25874,10.0,10.0,0.0,1.0260619409113207
26228,10.0,10.0,0.0,1.0260619409113207
22412,10.0,10.0,0.0,1.0260619409113207
13020,10.0,10.0,0.0,1.0260619409113207
22405,10.0,10.0,0.0,1.0260619409113207
26489,10.0,10.0,0.0,1.0260619409113207
25421,10.0,8.966,1.0340000000000007,1.0260619409113207
23157,10.0,9.114,0.8859999999999992,1.0260619409113207
25934,10.0,9.874,0.12599999999999945,1.0260619409113207
21223,10.0,10.0,0.0,1.0260619409113207
22279,10.0,10.0,0.0,1.0260619409113207
12859,7.0,5.376,1.6239999999999997,1.0260619409113207
27470,10.0,10.0,0.0,1.0260619409113207
26460,10.0,10.0,0.0,1.0260619409113207
23564,10.0,6.2125,3.7874999999999996,1.0260619409113207
27102,10.0,10.0,0.0,1.0260619409113207
13553,9.0,10.0,-1.0,1.0260619409113207
22606,10.0,10.0,0.0,1.0260619409113207
22572,10.0,10.0,0.0,1.0260619409113207
22791,10.0,10.0,0.0,1.0260619409113207
22461,10.0,9.988,0.012000000000000455,1.0260619409113207
13180,10.0,10.0,0.0,1.0260619409113207
27027,10.0,9.944,0.05599999999999916,1.0260619409113207
21259,10.0,10.0,0.0,1.0260619409113207
12937,10.0,10.0,0.0,1.0260619409113207
26528,10.0,10.0,0.0,1.0260619409113207
26436,10.0,10.0,0.0,1.0260619409113207
12653,10.0,10.0,0.0,1.0260619409113207
11756,10.0,10.0,0.0,1.0260619409113207
22220,10.0,10.0,0.0,1.0260619409113207
12919,10.0,10.0,0.0,1.0260619409113207
13249,10.0,8.757,1.2430000000000003,1.0260619409113207
27408,0.5,4.3255,-3.8255,1.0260619409113207
12077,10.0,10.0,0.0,1.0260619409113207
12068,10.0,10.0,0.0,1.0260619409113207
22376,10.0,10.0,0.0,1.0260619409113207
22141,10.0,10.0,0.0,1.0260619409113207
25690,10.0,10.0,0.0,1.0260619409113207
11684,10.0,10.0,0.0,1.0260619409113207
25740,10.0,10.0,0.0,1.0260619409113207
27261,10.0,10.0,0.0,1.0260619409113207
21898,10.0,9.71,0.28999999999999915,1.0260619409113207
6052,10.0,10.0,0.0,1.0260619409113207
25523,10.0,10.0,0.0,1.0260619409113207
25516,10.0,10.0,0.0,1.0260619409113207
22669,10.0,9.852,0.1479999999999997,1.0260619409113207
25842,10.0,10.0,0.0,1.0260619409113207
12506,10.0,10.0,0.0,1.0260619409113207
25949,3.0,5.028,-2.0279999999999996,1.0260619409113207
12966,10.0,6.146,3.854,1.0260619409113207
25438,10.0,9.92,0.08000000000000007,1.0260619409113207
27286,10.0,10.0,0.0,1.0260619409113207
21204,10.0,10.0,0.0,1.0260619409113207
23633,10.0,10.0,0.0,1.0260619409113207
26439,10.0,10.0,0.0,1.0260619409113207
22947,10.0,10.0,0.0,1.0260619409113207
26950,10.0,10.0,0.0,1.0260619409113207
23696,10.0,10.0,0.0,1.0260619409113207
12963,6.0,5.927,0.0730000000000004,1.0260619409113207
25680,10.0,10.0,0.0,1.0260619409113207
26550,10.0,10.0,0.0,1.0260619409113207
12507,10.0,10.0,0.0,1.0260619409113207
25902,10.0,10.0,0.0,1.0260619409113207
5726,10.0,10.0,0.0,1.0260619409113207
26754,10.0,10.0,0.0,1.0260619409113207
27107,10.0,10.0,0.0,1.0260619409113207
26408,9.0,10.0,-1.0,1.0260619409113207
23695,10.0,10.0,0.0,1.0260619409113207
5222,10.0,10.0,0.0,1.0260619409113207
23109,10.0,9.996,0.0039999999999995595,1.0260619409113207
26256,10.0,10.0,0.0,1.0260619409113207
23206,10.0,10.0,0.0,1.0260619409113207
26509,10.0,10.0,0.0,1.0260619409113207
13732,6.0,5.0845,0.9154999999999998,1.0260619409113207
23341,10.0,10.0,0.0,1.0260619409113207
25650,6.0,6.332,-0.33199999999999985,1.0260619409113207
22820,2.5,5.828,-3.3280000000000003,1.0260619409113207
23193,2.0,3.2945,-1.2945000000000002,1.0260619409113207
22575,10.0,10.0,0.0,1.0260619409113207
4364,10.0,10.0,0.0,1.0260619409113207
5922,10.0,10.0,0.0,1.0260619409113207
23555,10.0,10.0,0.0,1.0260619409113207
13259,4.0,1.5119,2.4881,1.0260619409113207
13612,10.0,10.0,0.0,1.0260619409113207
21966,10.0,10.0,0.0,1.0260619409113207
